s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,repeat,sample,rule,threads_per_rule,pipeline,filepath
245.3441,0:04:05,8539.58,30234.59,8500.66,8516.94,0.0,1.24,106.65,2,NIST7035_NIST,gatk_VariantRecalibrator_indel,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VariantRecalibrator_indel
243.591,0:04:03,8539.96,30234.59,8500.62,8517.06,0.0,0.86,107.57,3,NIST7035_NIST,gatk_VariantRecalibrator_indel,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VariantRecalibrator_indel
16.1891,0:00:16,2184.62,36600.97,2177.47,2177.86,0.0,130.98,297.88,1,NIST7035_NIST,gatk_VQSR_snp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VQSR_snp
17.9675,0:00:17,2273.13,36600.97,2266.0,2266.37,0.0,130.98,268.04,2,NIST7035_NIST,gatk_VQSR_snp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VQSR_snp
17.4601,0:00:17,2066.62,36600.97,2060.05,2060.43,0.0,130.98,252.24,3,NIST7035_NIST,gatk_VQSR_snp,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VQSR_snp
10.0629,0:00:10,460.65,5252.34,453.71,454.18,0.0,675.5,154.29,1,NIST7035_NIST,SnpSift_filter_proband,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_filter_proband
18.4986,0:00:18,468.03,5122.34,461.16,461.63,0.0,677.9,83.51,2,NIST7035_NIST,SnpSift_filter_proband,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_filter_proband
20.8566,0:00:20,450.66,5252.34,443.95,444.4,0.0,680.27,72.48,3,NIST7035_NIST,SnpSift_filter_proband,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/SnpSift_filter_proband
133.1629,0:02:13,16962.27,71673.04,16955.03,16955.48,15.16,640.86,103.63,1,NIST7035_NIST,gatk_VariantAnnotator_PossibleDeNovo,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VariantAnnotator_PossibleDeNovo
131.0947,0:02:11,16970.54,71673.04,16963.18,16963.62,0.0,676.19,110.13,2,NIST7035_NIST,gatk_VariantAnnotator_PossibleDeNovo,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VariantAnnotator_PossibleDeNovo
128.8052,0:02:08,16985.53,71673.04,16978.25,16978.69,0.0,676.67,112.1,3,NIST7035_NIST,gatk_VariantAnnotator_PossibleDeNovo,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/gatk_VariantAnnotator_PossibleDeNovo
272.6595,0:04:32,6997.14,8080.07,6768.84,6780.11,0.04,28.17,140.31,1,NIST7035_NIST,genmod_models,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_models
316.5142,0:05:16,6939.29,8046.43,6712.46,6723.65,0.0,27.58,140.0,2,NIST7035_NIST,genmod_models,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_models
286.27,0:04:46,6844.19,7990.27,6617.59,6628.82,0.0,27.86,131.73,3,NIST7035_NIST,genmod_models,16,vcf_annotation_pipeline,./resource_bench_16_thread/cohort/vcf_annotation_pipeline/workflow/benchmarks/genmod_models
2560.9382,0:42:40,4138.38,36605.67,4130.67,4131.01,0.0,2.92,111.98,1,dummy2_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2449.7958,0:40:49,4782.35,36605.67,4774.91,4775.23,0.0,2.84,111.1,2,dummy2_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2631.379,0:43:51,4137.66,36605.67,4130.02,4130.34,0.0,2.75,111.86,3,dummy2_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2035.8309,0:33:55,4935.07,36605.67,4927.35,4927.83,240.76,2.22,111.21,1,dummy1_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2117.7179,0:35:17,5110.51,36605.67,5104.28,5104.75,0.0,2.27,109.64,2,dummy1_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2079.2971,0:34:39,5157.05,36605.67,5152.88,5153.35,0.0,2.23,110.09,3,dummy1_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2051.8523,0:34:11,5169.82,36605.67,5162.03,5162.5,308.89,2.21,110.12,1,NIST7035_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2027.9647,0:33:47,4836.21,36605.67,4828.91,4829.38,0.0,2.18,110.49,2,NIST7035_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2046.8875,0:34:06,4807.04,36605.67,4799.5,4800.0,0.0,2.21,110.78,3,NIST7035_NIST,gatk_BaseRecalibrator,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_BaseRecalibrator
2369.924,0:39:29,27740.12,45748.39,27729.75,27730.21,5236.46,17670.33,1300.14,1,dummy2_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2383.7902,0:39:43,28432.55,45748.39,28422.37,28422.8,0.21,17701.73,1288.85,2,dummy2_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2374.9913,0:39:34,27561.27,45748.39,27551.04,27551.47,0.1,17733.34,1275.11,3,dummy2_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2152.456,0:35:52,28513.48,45748.39,28503.39,28503.86,18.92,17865.5,1359.97,1,dummy1_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2215.3,0:36:55,28743.12,45748.39,28732.98,28733.5,0.15,18026.91,1374.13,2,dummy1_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2180.6918,0:36:20,26804.2,45748.39,26793.71,26794.37,0.3,18026.5,1365.66,3,dummy1_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2106.203,0:35:06,27982.94,45748.39,27973.05,27973.63,781.07,17309.97,1343.95,1,NIST7035_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2141.1782,0:35:41,27744.82,45748.39,27734.74,27735.32,0.2,17547.03,1353.11,2,NIST7035_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
2149.6384,0:35:49,27824.16,45748.39,27814.04,27814.65,0.19,18035.7,1337.48,3,NIST7035_NIST,bwa_mem,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/bwa_mem
1499.9891,0:24:59,2011.67,36722.33,1989.97,1995.01,0.0,8712.91,174.38,1,dummy2_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1541.0895,0:25:41,1849.74,36722.33,1829.03,1833.99,0.0,8661.02,173.38,2,dummy2_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1577.2308,0:26:17,2373.88,36722.33,2352.13,2357.3,0.0,8609.62,174.09,3,dummy2_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1369.2425,0:22:49,2633.88,36722.33,2612.44,2617.7,6.5,8583.91,177.52,1,dummy1_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1356.8658,0:22:36,2174.83,36722.33,2154.18,2159.44,0.0,8666.1,179.36,2,dummy1_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1339.7802,0:22:19,2205.93,36722.33,2185.1,2190.37,0.0,8782.05,182.57,3,dummy1_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1338.7701,0:22:18,2158.39,36722.33,2136.95,2142.15,0.0,8596.2,177.72,1,NIST7035_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1383.3952,0:23:03,2153.57,36722.33,2132.51,2137.99,0.0,8702.52,179.64,2,NIST7035_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
1409.0268,0:23:29,2177.65,36722.33,2156.37,2161.64,0.0,8741.38,179.99,3,NIST7035_NIST,gatk_ApplyBQSR,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_ApplyBQSR
920.551,0:15:20,5464.73,36603.6,5459.63,5460.09,2692.26,3898.59,114.95,1,NIST7035_NIST,gatk_CombineGVCFs,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_CombineGVCFs
843.4579,0:14:03,5549.95,36604.15,5542.96,5543.44,0.0,3852.07,116.69,2,NIST7035_NIST,gatk_CombineGVCFs,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_CombineGVCFs
860.7387,0:14:20,4389.63,36603.6,4383.31,4383.8,0.0,3897.06,119.02,3,NIST7035_NIST,gatk_CombineGVCFs,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_CombineGVCFs
14867.1601,4:07:47,12208.93,36742.67,12200.95,12201.35,0.0,2708.68,302.48,1,dummy2_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
16180.1033,4:29:40,12220.08,36747.48,12211.95,12212.33,0.0,2713.27,286.51,2,dummy2_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
15026.8223,4:10:26,12336.47,36742.67,12328.16,12328.61,12.62,2712.31,288.89,3,dummy2_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
16004.5211,4:26:44,12125.74,36770.68,12117.29,12117.81,254.99,2712.09,277.23,1,dummy1_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
15369.8288,4:16:09,12153.77,36742.67,12145.4,12145.94,26.25,2718.21,280.05,2,dummy1_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
15009.7483,4:10:09,12324.88,36770.68,12316.61,12317.14,0.81,2713.11,283.65,3,dummy1_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
15866.394,4:24:26,12428.1,36784.68,12420.16,12420.69,0.0,2712.54,279.36,1,NIST7035_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
16418.3267,4:33:38,12379.19,36747.48,12370.79,12371.33,0.0,2708.55,274.42,2,NIST7035_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
14842.2436,4:07:22,12209.73,36742.67,12201.68,12202.19,0.0,2706.82,287.42,3,NIST7035_NIST,gatk_HaplotypeCaller_cohort,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_cohort
598.4462,0:09:58,5496.91,36603.6,5491.96,5492.41,0.0,108.24,119.78,1,NIST7035_NIST,gatk_GenotypeGVCFs,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_GenotypeGVCFs
539.0237,0:08:59,5724.32,36603.6,5719.71,5720.17,0.0,107.45,120.49,2,NIST7035_NIST,gatk_GenotypeGVCFs,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_GenotypeGVCFs
524.9074,0:08:44,6488.77,36603.6,6483.48,6483.93,0.0,104.93,115.91,3,NIST7035_NIST,gatk_GenotypeGVCFs,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_GenotypeGVCFs
515.8908,0:08:35,6283.99,9002.47,6098.87,6108.05,7470.43,11931.92,1505.86,1,dummy2_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
458.6882,0:07:38,6247.67,8965.43,6059.14,6068.47,0.0,12236.21,1714.94,2,dummy2_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
460.5118,0:07:40,6035.83,8752.13,5847.91,5857.23,0.0,12134.66,1705.95,3,dummy2_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
468.641,0:07:48,7145.42,9859.38,6955.59,6965.08,7470.43,11359.77,1498.63,1,dummy1_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
414.1161,0:06:54,7037.14,9755.68,6851.83,6861.25,0.0,11614.09,1694.4,2,dummy1_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
410.5227,0:06:50,7338.21,10057.61,7154.02,7163.38,0.0,11885.36,1734.21,3,dummy1_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
451.6619,0:07:31,6469.68,9185.78,6281.82,6291.34,7470.56,11905.46,1614.41,1,NIST7035_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
384.143,0:06:24,7019.0,9739.41,6834.06,6843.56,0.0,11192.69,1558.35,2,NIST7035_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
375.0987,0:06:15,7591.14,10311.15,7407.91,7417.34,0.0,11379.38,1806.56,3,NIST7035_NIST,trim_galore_pe,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe
1243.3145,0:20:43,30775.48,39138.75,30767.67,30768.0,0.0,7764.88,1176.82,1,dummy2_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1222.421,0:20:22,30807.67,39138.75,30799.67,30799.99,0.0,7624.47,1194.37,2,dummy2_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1281.4413,0:21:21,27498.71,39138.75,27490.78,27491.11,0.0,7633.29,1232.36,3,dummy2_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1195.8969,0:19:55,30861.12,39138.75,30853.15,30853.62,51.53,7563.99,1241.9,1,dummy1_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1218.9592,0:20:18,30604.88,39138.75,30597.1,30597.54,0.0,7841.88,1223.79,2,dummy1_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1278.5751,0:21:18,27596.36,39138.75,27588.53,27588.99,0.0,7858.82,1322.32,3,dummy1_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1222.3935,0:20:22,30619.27,39138.75,30611.48,30611.95,0.0,7589.2,1296.6,1,NIST7035_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1217.5008,0:20:17,30985.23,39138.75,30977.52,30977.99,0.0,7891.48,1254.21,2,NIST7035_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
1268.4098,0:21:08,27622.8,39138.75,27614.76,27615.25,0.0,7939.33,1327.61,3,NIST7035_NIST,gatk_MarkDuplicates,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/gatk_MarkDuplicates
290.2955,0:04:50,2561.47,7265.59,2551.16,2551.8,3692.71,0.19,99.48,1,dummy2_NIST,fastqc,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/fastqc
264.3226,0:04:24,2562.55,7200.59,2552.04,2552.71,0.0,0.18,97.83,2,dummy2_NIST,fastqc,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/fastqc
280.2552,0:04:40,2565.32,7266.55,2555.1,2555.75,0.0,0.18,92.35,3,dummy2_NIST,fastqc,16,human_genomics_pipeline,./resource_bench_16_thread/cohort/human_genomics_pipeline/workflow/benchmarks/fastqc
