s,h:m:s,max_rss,max_vms,max_uss,max_pss,io_in,io_out,mean_load,repeat,sample,rule,threads_per_rule,no_samples,resource_type,run_type,data_type,pipeline,filepath_benchmarking_file,filepath_log_file,node
16817.5131,4:40:17,12021.97,38495.5,12018.78,12018.87,0.0,88.68,118.15,3,dummy08,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio2 
4115.9209,1:08:35,11980.96,38537.7,11948.85,11956.06,4905.45,42.47,168.6,1,dummy01,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4190.1417,1:09:50,12076.14,38537.7,12043.98,12051.22,0.0,42.37,169.07,2,dummy01,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4252.7192,1:10:52,12062.38,38559.69,12030.37,12039.97,0.0,42.48,167.77,3,dummy01,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4029.9766,1:07:09,12018.25,38495.68,12014.91,12014.96,5540.44,44.49,169.47,1,dummy02,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4596.7614,1:16:36,12029.9,38537.69,12004.09,12012.34,0.0,44.27,163.52,2,dummy02,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
4416.8845,1:13:36,12215.49,38537.69,12183.6,12197.86,0.0,44.03,166.91,3,dummy02,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio5 
9792.1768,2:43:12,12113.95,38537.46,12106.34,12106.42,5302.83,47.92,105.5,1,dummy07,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio2 
7183.6607,1:59:43,11920.71,38495.68,11888.76,11903.19,0.0,45.71,118.3,2,dummy07,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio2 
6284.8345,1:44:44,11843.83,38559.68,11812.0,11826.43,0.0,44.95,126.44,3,dummy07,gatk_HaplotypeCaller_single,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/gatk_HaplotypeCaller_single,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/gatk_HaplotypeCaller_single,kscprod-bio2 
15859.8168,4:24:19,27152.96,48685.82,27120.38,27129.92,4447.64,12841.32,266.59,1,dummy05,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
13884.8508,3:51:24,26912.96,48685.82,26908.86,26908.98,123.8,12745.91,293.68,2,dummy05,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
10969.9519,3:02:49,26307.81,48685.82,26303.8,26303.98,0.0,13011.5,362.1,3,dummy05,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
23470.955,6:31:10,24764.11,48685.82,24763.78,24766.36,4804.25,7873.44,115.33,1,dummy03,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
11769.1782,3:16:09,25434.05,48685.82,25411.0,25415.81,1406.86,7837.65,231.14,2,dummy03,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
12321.0404,3:25:21,25584.85,48685.82,25580.2,25580.25,3812.85,7898.83,204.08,3,dummy03,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
4867.7429999999995,1:21:07,23230.58,48685.84,23197.93,23207.49,2898.27,7972.93,412.97,1,dummy06,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
5296.8401,1:28:16,24152.23,48685.84,24119.57,24129.08,0.0,8076.71,477.91,2,dummy06,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
5691.4746,1:34:51,25609.82,48685.84,25605.64,25605.71,0.0,8650.25,446.32,3,dummy06,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
4487.3824,1:14:47,25307.26,48685.84,25274.71,25284.21,2461.82,7453.45,498.66,1,dummy04,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
4621.7725,1:17:01,25144.14,48685.84,25111.46,25120.98,0.0,7063.95,462.6,2,dummy04,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
4724.8468,1:18:44,25332.59,48685.84,25300.02,25314.32,0.0,6820.31,442.36,3,dummy04,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
5681.054,1:34:41,25487.45,48685.82,25455.56,25465.06,2114.68,3959.99,310.99,1,dummy08,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
5029.9141,1:23:49,23309.87,48685.82,23277.49,23287.0,163.12,4151.21,346.77,2,dummy08,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
5461.6149,1:31:01,22834.22,48685.82,22802.1,22811.63,0.0,4151.57,274.88,3,dummy08,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
4521.6990000000005,1:15:21,24153.95,48685.84,24121.29,24130.85,2604.87,7539.66,426.85,1,dummy01,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
4519.5573,1:15:19,24727.18,48685.84,24694.52,24704.03,0.0,7756.79,468.69,2,dummy01,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
4446.3583,1:14:06,25040.19,48685.84,25007.46,25016.96,0.0,7080.7,499.55,3,dummy01,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio5 
9833.8666,2:43:53,24612.73,48685.82,24580.72,24590.24,2831.96,8042.83,259.65,1,dummy02,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
9826.6533,2:43:46,26272.96,48685.82,26240.3,26254.62,118.7,8175.98,255.46,2,dummy02,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
8307.9645,2:18:27,25911.04,48685.82,25878.45,25892.79,0.0,8389.52,313.1,3,dummy02,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
23073.2337,6:24:33,27158.98,48685.82,27152.96,27155.64,7102.29,8102.25,118.97,1,dummy07,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
11767.9783,3:16:07,27423.46,48685.82,27390.99,27405.3,1566.84,8010.89,223.89,2,dummy07,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
11900.8184,3:18:20,26365.91,48685.82,26349.52,26356.81,3996.25,7902.09,208.28,3,dummy07,bwa_mem,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/bwa_mem,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/logs/bwa_mem,kscprod-bio2 
15284.4764,4:14:44,1826.45,2984.02,1785.87,1793.61,9579.46,8823.46,61.12,1,dummy05,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
8299.282,2:18:19,1920.25,3078.92,1880.67,1888.94,8119.73,8755.46,110.63,2,dummy05,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
5318.9234,1:28:38,1868.2,3026.15,1831.53,1839.85,4887.57,8796.97,169.46,3,dummy05,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
2349.9577,0:39:09,1839.83,2997.41,1799.33,1808.41,2925.43,5248.07,237.43,1,dummy03,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
2560.2878,0:42:40,1728.54,2886.44,1687.97,1696.45,141.23,5248.99,216.4,2,dummy03,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
1882.6478,0:31:22,1767.14,2925.04,1726.89,1735.95,0.0,5141.23,274.3,3,dummy03,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
9748.2795,2:42:28,1762.77,2920.82,1722.46,1730.42,5977.12,5689.53,61.3,1,dummy06,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
8184.2778,2:16:24,1922.46,3091.65,1893.38,1900.5,5529.71,5686.6,73.53,2,dummy06,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
5282.1081,1:28:02,1863.81,3022.27,1823.8,1831.83,4805.63,5645.79,110.82,3,dummy06,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
2132.7183,0:35:32,1706.96,2864.84,1666.63,1675.08,2698.49,4850.08,239.69,1,dummy04,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
2389.8079,0:39:49,1722.35,2880.54,1682.13,1690.6,1.68,4821.68,212.97,2,dummy04,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
1941.6084,0:32:21,1813.46,2971.0,1772.96,1781.41,4.1,4749.43,251.4,3,dummy04,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
7297.286,2:01:37,1863.5,3021.33,1823.09,1830.86,4122.42,4165.48,59.88,1,dummy08,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
7569.3681,2:06:09,1877.78,3038.2,1839.91,1847.94,4533.75,4143.53,57.88,2,dummy08,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
4787.4375,1:19:47,1768.78,2926.98,1728.46,1736.9,3538.46,4164.27,90.92,3,dummy08,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
8852.8879,2:27:32,1866.43,3024.25,1826.19,1834.17,5314.7,5135.21,60.83,1,dummy01,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
8076.9459,2:14:36,1807.3,2971.57,1773.34,1780.59,5514.89,5147.09,67.89,2,dummy01,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
5179.1346,1:26:19,1880.84,3038.46,1840.25,1848.24,5019.7,5131.53,102.49,3,dummy01,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
9626.9291,2:40:26,1809.6,2967.59,1769.39,1777.35,5880.6,5580.34,60.95,1,dummy02,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
8205.3692,2:16:45,1840.3,3004.73,1806.47,1813.6,5486.95,5577.02,71.64,2,dummy02,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
5239.0327,1:27:19,1902.85,3060.55,1862.42,1870.5,4844.3,5580.46,110.23,3,dummy02,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
2384.4479,0:39:44,1824.38,2982.14,1784.07,1792.5,1522.58,5331.57,236.42,1,dummy07,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
2593.3617,0:43:13,1771.79,2929.2,1733.43,1742.08,219.61,5326.78,216.46,2,dummy07,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
1909.46,0:31:49,1842.64,3005.31,1801.73,1810.42,0.1,5260.05,271.99,3,dummy07,trim_galore_pe,2,8,cpu_run,single_run,exome,human_genomics_pipeline,./exome/cpu_run/08_sample/single_run/02_threads/human_genomics_pipeline/workflow/benchmarks/trim_galore_pe,,
